Topic,comp_role,Year,weight,word_category
20,fi_34+servicer,2002,0.264,1
20,fi_34+servicer,2003,0.248,1
20,fi_34+servicer,2004,0.2289,1
20,fi_33+depositor,2005,0.2249,1
20,fi_33+depositor,2006,0.2368,1
20,fi_33+depositor,2007,0.2393,1
20,fi_33+depositor,2008,0.2413,1
21,fi_74+issuer,2002,0.1377,1
21,fi_74+issuer,2003,0.1329,1
21,fi_74+issuer,2004,0.1223,1
21,fi_306+servicer,2005,0.1201,1
21,fi_306+servicer,2006,0.1219,1
21,fi_306+servicer,2007,0.1221,1
21,fi_306+servicer,2008,0.1221,1
22,fi_107+depositor,2002,0.1877,1
22,fi_107+depositor,2003,0.1864,1
22,fi_107+depositor,2004,0.1811,1
22,fi_107+depositor,2005,0.1742,1
22,fi_107+depositor,2006,0.1687,1
22,fi_107+depositor,2007,0.1653,1
22,fi_107+depositor,2008,0.1653,1
23,fi_306+servicer,2002,0.109,1
23,fi_306+servicer,2003,0.1105,1
23,fi_306+servicer,2004,0.111,1
23,fi_306+servicer,2005,0.1074,1
23,fi_165+issuer,2006,0.1239,1
23,fi_165+issuer,2007,0.1316,1
23,fi_165+issuer,2008,0.1317,1
24,fi_230+depositor,2002,0.192,1
24,fi_230+depositor,2003,0.1877,1
24,fi_230+depositor,2004,0.1765,1
24,fi_230+depositor,2005,0.1648,1
24,fi_230+depositor,2006,0.1566,1
24,fi_270+servicer,2007,0.1624,1
24,fi_270+servicer,2008,0.1557,1
25,fi_138+issuer,2002,0.1206,1
25,fi_138+issuer,2003,0.1246,1
25,fi_138+issuer,2004,0.125,1
25,fi_138+issuer,2005,0.1314,1
25,fi_138+issuer,2006,0.1368,1
25,fi_138+issuer,2007,0.1399,1
25,fi_138+issuer,2008,0.1399,1
26,fi_306+seller,2002,0.2865,1
26,fi_306+seller,2003,0.268,1
26,fi_306+seller,2004,0.2532,1
26,fi_306+seller,2005,0.2468,1
26,fi_306+seller,2006,0.2491,1
26,fi_306+seller,2007,0.2533,1
26,fi_306+seller,2008,0.2552,1
27,fi_306+servicer,2002,0.2791,1
27,fi_306+servicer,2003,0.2769,1
27,fi_306+servicer,2004,0.2767,1
27,fi_306+servicer,2005,0.2834,1
27,fi_306+servicer,2006,0.2803,1
27,fi_306+servicer,2007,0.2759,1
27,fi_306+servicer,2008,0.2753,1
28,fi_306+servicer,2002,0.1528,1
28,fi_306+servicer,2003,0.1537,1
28,fi_306+servicer,2004,0.1539,1
28,fi_306+servicer,2005,0.1534,1
28,fi_306+servicer,2006,0.1484,1
28,fi_306+servicer,2007,0.146,1
28,fi_306+servicer,2008,0.145,1
29,fi_306+servicer,2002,0.0942,1
29,fi_306+servicer,2003,0.0947,1
29,fi_306+servicer,2004,0.0949,1
29,fi_306+servicer,2005,0.0958,1
29,fi_306+servicer,2006,0.0926,1
29,fi_306+servicer,2007,0.0936,1
29,fi_306+servicer,2008,0.0936,1
30,fi_226+depositor,2002,0.1364,1
30,fi_226+depositor,2003,0.1408,1
30,fi_226+depositor,2004,0.1427,1
30,fi_226+depositor,2005,0.1409,1
