Topic,comp_role,Year,weight,word_category
12,fi_87+servicer,2007,0.0865,3
12,fi_87+servicer,2008,0.0864,3
12,fi_87+sponsor,2006,0.0891,3
12,fi_87+sponsor,2007,0.0799,4
12,fi_87+sponsor,2008,0.0799,4
13,fi_116+originator,2004,0.0349,5
13,fi_138+servicer,2004,0.0863,3
13,fi_141+originator,2002,0.2381,1
13,fi_141+originator,2003,0.0788,3
13,fi_141+originator,2007,0.0531,5
13,fi_141+originator,2008,0.0531,5
13,fi_158+originator,2002,0.1867,2
13,fi_171+originator,2003,0.12,2
13,fi_171+originator,2004,0.1807,2
13,fi_226+originator,2003,0.0774,4
13,fi_226+originator,2004,0.0834,4
13,fi_226+originator,2005,0.0822,4
13,fi_306+servicer,2005,0.1141,1
13,fi_306+servicer,2006,0.0625,3
13,fi_306+servicer,2007,0.0626,2
13,fi_306+servicer,2008,0.0626,2
13,fi_71+originator,2002,0.0398,4
13,fi_71+originator,2003,0.1597,1
13,fi_71+originator,2004,0.2473,1
13,fi_71+originator,2005,0.0836,3
13,fi_71+originator,2006,0.4883,1
13,fi_71+originator,2007,0.3399,1
13,fi_71+originator,2008,0.3399,1
13,fi_71+servicer,2002,0.0382,5
13,fi_71+servicer,2006,0.0695,2
13,fi_73+depositor,2002,0.1693,3
13,fi_73+depositor,2003,0.0445,5
13,fi_73+depositor,2005,0.099,2
13,fi_73+depositor,2007,0.0531,4
13,fi_73+depositor,2008,0.0531,4
13,fi_82+originator,2006,0.0363,5
13,fi_82+originator,2007,0.0573,3
13,fi_82+originator,2008,0.0574,3
13,fi_82+seller,2005,0.0711,5
13,fi_82+sponsor,2006,0.0404,4
14,fi_137+originator,2007,0.0827,5
14,fi_137+originator,2008,0.0828,5
14,fi_167+issuer,2002,0.0759,5
14,fi_230+depositor,2007,0.0898,3
14,fi_230+depositor,2008,0.0899,3
14,fi_230+issuer,2003,0.0796,5
14,fi_230+issuer,2006,0.1206,2
14,fi_230+issuer,2007,0.3606,1
14,fi_230+issuer,2008,0.36,1
14,fi_270+servicer,2007,0.0849,4
14,fi_270+servicer,2008,0.085,4
14,fi_35+trustee,2004,0.0468,5
14,fi_35+trustee,2005,0.0591,5
14,fi_71+depositor,2004,0.0852,3
14,fi_71+depositor,2005,0.0861,3
14,fi_71+issuer,2002,0.3898,1
14,fi_71+issuer,2003,0.3374,1
14,fi_71+issuer,2004,0.4214,1
14,fi_71+issuer,2005,0.4047,1
14,fi_71+issuer,2006,0.3678,1
14,fi_71+issuer,2007,0.1454,2
14,fi_71+issuer,2008,0.1455,2
14,fi_71+seller,2002,0.0838,4
14,fi_71+seller,2003,0.0881,4
14,fi_71+seller,2004,0.0731,4
14,fi_71+seller,2005,0.0712,4
14,fi_71+seller,2006,0.0504,5
14,fi_71+servicer,2002,0.1207,2
14,fi_71+servicer,2003,0.1201,2
14,fi_71+servicer,2004,0.1258,2
14,fi_71+servicer,2005,0.1575,2
14,fi_71+servicer,2006,0.0719,3
14,fi_71+sponsor,2006,0.0618,4
14,fi_72+depositor,2002,0.09,3
14,fi_72+depositor,2003,0.1058,3
15,fi_248+issuer,2004,0.1656,2
15,fi_248+issuer,2005,0.0416,4
15,fi_248+issuer,2006,0.0788,3
15,fi_248+issuer,2007,0.0809,3
15,fi_248+issuer,2008,0.0809,3
15,fi_248+servicer,2002,0.0271,5
15,fi_248+servicer,2003,0.0581,3
15,fi_248+servicer,2004,0.1471,3
15,fi_248+servicer,2005,0.0985,3
15,fi_248+servicer,2006,0.0238,5
15,fi_297+originator,2003,0.1416,2
15,fi_306+originator,2002,0.1839,3
15,fi_306+originator,2003,0.6443,1
15,fi_306+originator,2004,0.3325,1
15,fi_306+originator,2005,0.6056,1
15,fi_306+originator,2006,0.5818,1
15,fi_306+originator,2007,0.6134,1
15,fi_306+originator,2008,0.6134,1
15,fi_306+securities-administrator,2005,0.0312,5
15,fi_306+securities-administrator,2006,0.0388,4
15,fi_306+securities-administrator,2007,0.0221,5
15,fi_306+securities-administrator,2008,0.0221,5
15,fi_306+servicer,2004,0.0472,4
15,fi_306+servicer,2005,0.123,2
15,fi_306+servicer,2006,0.1356,2
15,fi_306+servicer,2007,0.1485,2
15,fi_306+servicer,2008,0.1485,2
15,fi_34+depositor,2002,0.2336,2
15,fi_34+depositor,2003,0.0186,5
15,fi_34+issuer,2002,0.3982,1
15,fi_34+issuer,2003,0.0274,4
15,fi_35+trustee,2002,0.0782,4
15,fi_64+trustee,2007,0.0222,4
15,fi_64+trustee,2008,0.0223,4
15,fi_80+trustee,2004,0.034,5
16,fi_101+trustee,2007,0.0567,4
16,fi_101+trustee,2008,0.0568,4
16,fi_125+originator,2006,0.0837,2
16,fi_125+originator,2007,0.1609,2
16,fi_125+originator,2008,0.1608,2
16,fi_277+issuer,2002,0.1688,2
16,fi_277+issuer,2003,0.1831,2
16,fi_277+issuer,2004,0.0998,3
16,fi_277+issuer,2005,0.0495,4
16,fi_277+issuer,2006,0.0583,4
16,fi_277+issuer,2007,0.2217,1
16,fi_277+issuer,2008,0.2216,1
16,fi_306+securities-administrator,2007,0.0524,5
16,fi_306+securities-administrator,2008,0.0524,5
16,fi_306+servicer,2003,0.0514,4
16,fi_306+servicer,2004,0.0552,5
16,fi_306+servicer,2005,0.0438,5
16,fi_72+depositor,2002,0.0776,3
16,fi_72+depositor,2003,0.0782,3
16,fi_72+depositor,2004,0.1015,2
16,fi_72+depositor,2005,0.0799,3
16,fi_72+depositor,2006,0.0829,3
16,fi_72+issuer,2002,0.3932,1
16,fi_72+issuer,2003,0.323,1
16,fi_72+issuer,2004,0.3629,1
16,fi_72+issuer,2005,0.3484,1
16,fi_72+issuer,2006,0.3905,1
16,fi_72+issuer,2007,0.0808,3
16,fi_72+issuer,2008,0.0808,3
16,fi_79+servicer,2006,0.0372,5
16,fi_80+trustee,2003,0.0373,5
